Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
25,tt2402101,5/8/2022,5/8/2022,,Dark Places,Dark Places,https://www.imdb.com/title/tt2402101/,Movie,6.2,113,2015,"Crime, Drama, Mystery, Thriller",47986,6/18/2015,Gilles Paquet-Brenner
26,tt2349144,5/8/2022,5/8/2022,,Mississippi Grind,Mississippi Grind,https://www.imdb.com/title/tt2349144/,Movie,6.4,108,2015,"Comedy, Drama",26149,8/13/2015,"Anna Boden, Ryan Fleck"
27,tt3170832,5/8/2022,5/8/2022,,Room,Room,https://www.imdb.com/title/tt3170832/,Movie,8.1,118,2015,"Drama, Thriller",452858,1/22/2016,Lenny Abrahamson
28,tt2322517,5/8/2022,5/8/2022,,Mojave,Mojave,https://www.imdb.com/title/tt2322517/,Movie,5.2,93,2015,"Action, Adventure, Crime, Drama, Mystery, Thriller",5595,12/3/2015,William Monahan
29,tt4263482,5/8/2022,5/8/2022,,The Witch,The VVitch: A New-England Folktale,https://www.imdb.com/title/tt4263482/,Movie,7,92,2015,"Drama, Fantasy, Horror, Mystery, Thriller",304045,2/19/2016,Robert Eggers
30,tt3704050,5/8/2022,5/8/2022,,Remember,Remember,https://www.imdb.com/title/tt3704050/,Movie,7.5,94,2015,"Drama, Mystery, Thriller",28017,12/17/2015,Atom Egoyan
31,tt4266638,5/8/2022,5/8/2022,,Krisha,Krisha,https://www.imdb.com/title/tt4266638/,Movie,7.1,83,2015,Drama,10117,6/7/2016,Trey Edward Shults
32,tt4062536,5/8/2022,5/8/2022,,Green Room,Green Room,https://www.imdb.com/title/tt4062536/,Movie,7,95,2015,"Crime, Drama, Horror, Music, Thriller",140203,5/13/2016,Jeremy Saulnier
33,tt1735907,5/8/2022,5/8/2022,,The Adderall Diaries,The Adderall Diaries,https://www.imdb.com/title/tt1735907/,Movie,5.2,87,2015,"Crime, Drama, Mystery, Thriller",6210,3/10/2016,Pamela Romanowsky
34,tt3464902,5/8/2022,5/8/2022,,The Lobster,The Lobster,https://www.imdb.com/title/tt3464902/,Movie,7.1,119,2015,"Drama, Romance, Sci-Fi, Thriller",300467,10/16/2015,Yorgos Lanthimos
35,tt1683048,5/8/2022,5/8/2022,,De Palma,De Palma,https://www.imdb.com/title/tt1683048/,Movie,7.4,110,2015,"Documentary, Biography",6257,9/23/2016,"Noah Baumbach, Jake Paltrow"
36,tt4034354,5/8/2022,5/8/2022,,Swiss Army Man,Swiss Army Man,https://www.imdb.com/title/tt4034354/,Movie,6.9,97,2016,"Comedy, Drama, Fantasy, Romance",134302,7/1/2016,"Daniel Kwan, Daniel Scheinert"
37,tt3289728,5/8/2022,5/8/2022,,Equals,Equals,https://www.imdb.com/title/tt3289728/,Movie,6,101,2015,"Drama, Romance, Sci-Fi",32942,5/26/2016,Drake Doremus
38,tt2625810,5/8/2022,5/8/2022,,Into the Forest,Into the Forest,https://www.imdb.com/title/tt2625810/,Movie,5.8,101,2015,"Drama, Thriller",22158,7/29/2016,Patricia Rozema
39,tt3652862,5/8/2022,5/8/2022,,Morris from America,Morris from America,https://www.imdb.com/title/tt3652862/,Movie,6.3,91,2016,"Comedy, Drama, Romance",5639,8/19/2016,Chad Hartigan
40,tt3450900,5/8/2022,5/8/2022,,The Sea of Trees,The Sea of Trees,https://www.imdb.com/title/tt3450900/,Movie,6.1,110,2015,"Drama, Fantasy, Mystery, Thriller",17950,8/26/2016,Gus Van Sant
41,tt3721936,5/8/2022,5/8/2022,,American Honey,American Honey,https://www.imdb.com/title/tt3721936/,Movie,7,163,2016,"Adventure, Drama, Romance",46777,10/14/2016,Andrea Arnold
42,tt4975722,5/8/2022,5/8/2022,,Moonlight,Moonlight,https://www.imdb.com/title/tt4975722/,Movie,7.4,111,2016,Drama,333545,11/18/2016,Barry Jenkins
43,tt5213534,5/8/2022,5/8/2022,,Oasis: Supersonic,Supersonic,https://www.imdb.com/title/tt5213534/,Movie,7.8,122,2016,"Documentary, Biography, Music",12444,10/26/2016,Mat Whitecross
44,tt3976144,5/8/2022,5/8/2022,,The Monster,The Monster,https://www.imdb.com/title/tt3976144/,Movie,5.4,91,2016,"Drama, Fantasy, Horror",19518,10/6/2016,Bryan Bertino
45,tt4385888,5/8/2022,5/8/2022,,20th Century Women,20th Century Women,https://www.imdb.com/title/tt4385888/,Movie,7.3,119,2016,"Comedy, Drama",49705,1/20/2017,Mike Mills
46,tt3305308,5/8/2022,5/8/2022,,Trespass Against Us,Trespass Against Us,https://www.imdb.com/title/tt3305308/,Movie,5.8,99,2016,"Action, Crime, Drama, Thriller",9188,11/24/2016,Adam Smith
47,tt3286052,5/8/2022,5/8/2022,,The Blackcoat's Daughter,February,https://www.imdb.com/title/tt3286052/,Movie,5.9,93,2015,"Horror, Mystery, Thriller",26495,2/16/2017,Oz Perkins
48,tt4158096,5/8/2022,5/8/2022,,Free Fire,Free Fire,https://www.imdb.com/title/tt4158096/,Movie,6.3,91,2016,"Action, Comedy, Crime, Thriller",50983,4/21/2017,Ben Wheatley
49,tt5770620,5/8/2022,5/8/2022,,The Lovers,The Lovers,https://www.imdb.com/title/tt5770620/,Movie,6.1,97,2017,"Comedy, Drama, Romance",4203,5/26/2017,Azazel Jacobs
50,tt4721124,5/8/2022,5/8/2022,,The Exception,The Exception,https://www.imdb.com/title/tt4721124/,Movie,6.8,107,2016,"Drama, Romance, War",15546,6/2/2017,David Leveaux
51,tt4695012,5/8/2022,5/8/2022,,It Comes at Night,It Comes at Night,https://www.imdb.com/title/tt4695012/,Movie,6.2,91,2017,"Drama, Horror, Mystery, Sci-Fi, Thriller",103841,6/9/2017,Trey Edward Shults
52,tt6265828,5/8/2022,5/8/2022,,A Ghost Story,A Ghost Story,https://www.imdb.com/title/tt6265828/,Movie,6.8,92,2017,"Drama, Fantasy, Mystery, Romance",80276,7/28/2017,David Lowery
53,tt6333086,5/8/2022,5/8/2022,,Menashe,Menashe,https://www.imdb.com/title/tt6333086/,Movie,6.6,82,2017,Drama,2560,8/18/2017,Joshua Z Weinstein
54,tt4846232,5/8/2022,5/8/2022,,Good Time,Good Time,https://www.imdb.com/title/tt4846232/,Movie,7.3,102,2017,"Crime, Drama, Thriller",141286,8/25/2017,"Benny Safdie, Josh Safdie"
55,tt4677924,5/8/2022,5/8/2022,,Woodshock,Woodshock,https://www.imdb.com/title/tt4677924/,Movie,4.2,100,2017,"Drama, Fantasy, Horror, Mystery, Thriller",2340,10/19/2017,"Kate Mulleavy, Laura Mulleavy"
56,tt5649144,5/8/2022,5/8/2022,,The Florida Project,The Florida Project,https://www.imdb.com/title/tt5649144/,Movie,7.6,111,2017,Drama,129813,11/10/2017,Sean Baker
57,tt5715874,5/8/2022,5/8/2022,,The Killing of a Sacred Deer,The Killing of a Sacred Deer,https://www.imdb.com/title/tt5715874/,Movie,7,121,2017,"Drama, Horror, Mystery, Thriller",190377,11/3/2017,Yorgos Lanthimos
58,tt4925292,5/8/2022,5/8/2022,,Lady Bird,Lady Bird,https://www.imdb.com/title/tt4925292/,Movie,7.4,94,2017,"Comedy, Drama",333364,12/1/2017,Greta Gerwig
59,tt3521126,5/8/2022,5/8/2022,,The Disaster Artist,The Disaster Artist,https://www.imdb.com/title/tt3521126/,Movie,7.3,104,2017,"Biography, Comedy, Drama",164996,12/8/2017,James Franco
60,tt4400994,5/8/2022,5/8/2022,,The Ballad of Lefty Brown,The Ballad of Lefty Brown,https://www.imdb.com/title/tt4400994/,Movie,6.3,111,2017,"Action, Drama, Western",7890,12/15/2017,Jared Moshe
61,tt1291566,5/8/2022,5/8/2022,,The Vanishing of Sidney Hall,Sidney Hall,https://www.imdb.com/title/tt1291566/,Movie,6.8,119,2017,"Drama, Mystery, Romance",11794,3/2/2018,Shawn Christensen
62,tt5836316,5/8/2022,5/8/2022,,The Last Movie Star,Dog Years,https://www.imdb.com/title/tt5836316/,Movie,7,94,2017,Drama,4923,3/30/2018,Adam Rifkin
63,tt5340300,5/8/2022,5/8/2022,,Lean on Pete,Lean on Pete,https://www.imdb.com/title/tt5340300/,Movie,7.1,121,2017,"Adventure, Drama, Sport",14031,5/4/2018,Andrew Haigh
64,tt5153288,5/8/2022,5/8/2022,,Backstabbing for Beginners,Backstabbing for Beginners,https://www.imdb.com/title/tt5153288/,Movie,6.3,108,2018,"Drama, History, Mystery, Romance, Thriller",5908,4/27/2018,Per Fly
65,tt6053438,4/19/2023,4/19/2023,,First Reformed,First Reformed,https://www.imdb.com/title/tt6053438/,Movie,7.1,113,2017,"Drama, Mystery, Thriller",62976,6/8/2018,Paul Schrader
66,tt3859310,4/19/2023,4/19/2023,,How to Talk to Girls at Parties,How to Talk to Girls at Parties,https://www.imdb.com/title/tt3859310/,Movie,5.7,102,2017,"Comedy, Music, Romance, Sci-Fi",12466,5/25/2018,John Cameron Mitchell
67,tt7784604,4/19/2023,4/19/2023,,Hereditary,Hereditary,https://www.imdb.com/title/tt7784604/,Movie,7.3,127,2018,"Drama, Horror, Mystery, Thriller",383698,6/8/2018,Ari Aster
68,tt5436228,4/19/2023,4/19/2023,,Woman Walks Ahead,Woman Walks Ahead,https://www.imdb.com/title/tt5436228/,Movie,6.7,101,2017,"Biography, Drama, History, Western",8473,6/29/2018,Susanna White
69,tt7014006,4/19/2023,4/19/2023,,Eighth Grade,Eighth Grade,https://www.imdb.com/title/tt7014006/,Movie,7.4,93,2018,"Comedy, Drama",82895,8/3/2018,Bo Burnham
70,tt3416536,4/19/2023,4/19/2023,,Hot Summer Nights,Hot Summer Nights,https://www.imdb.com/title/tt3416536/,Movie,6.4,107,2017,"Crime, Drama, Romance",23730,7/27/2018,Elijah Bynum
